Country,Year,Country_Population,GDP_per_capital,unemployment_rate,School_enrollment_rate
Bermuda,2007,64888,90849.58698,Null,Null
Bermuda,2008,65273,93605.74817,Null,Null
Bermuda,2009,65636,88463.31282,Null,Null
Bermuda,2010,65124,88207.32756,Null,Null
Bermuda,2011,64564,85973.15842,Null,93.46006
Bermuda,2012,64798,85458.45551,Null,92.71386
Bermuda,2013,65001,85748.06541,Null,Null
Bermuda,2014,65139,Null,Null,Null
Bermuda,2015,65239,Null,Null,Null
Bermuda,2016,64555,Null,Null,Null
Bermuda,2017,63874,Null,Null,Null
Canada,2007,32889025,44543.04104,6.035999775,Null
Canada,2008,33247118,46594.45095,6.137000084,Null
Canada,2009,33628895,40773.06153,8.343999863,Null
Canada,2010,34004889,47450.31847,8.055999756,Null
Canada,2011,34339328,52101.79609,7.511000156,Null
Canada,2012,34714222,52542.34666,7.291999817,99.45167
Canada,2013,35082954,52504.6557,7.073999882,99.43231
Canada,2014,35437435,50835.51118,6.914000034,99.39113
Canada,2015,35702908,43495.05439,6.906000137,99.58907
Canada,2016,36109487,42279.90082,6.999000072,99.95587
Canada,2017,36540268,45069.9273,6.34000015,99.8825
North America,2007,334185120,47646.43886,4.770881766,96.20578003
North America,2008,337406357,48215.11179,5.821327017,96.26419067
North America,2009,340466060,46483.02509,9.157212272,95.04202271
North America,2010,343396098,48373.70037,9.463446439,93.79489
North America,2011,345983901,50110.05567,8.793424945,92.90273
North America,2012,348653238,51703.26734,7.984803362,93.33829
North America,2013,351205682,53052.79008,7.342145619,93.35277
North America,2014,353888995,54618.84662,6.249378312,93.73903
North America,2015,356510820,55476.89671,5.457251112,94.37224
North America,2016,359245384,56340.17651,5.100788902,95.48883
North America,2017,361751263,58434.03088,4.571528306,95.08227
United States,2007,301231207,47975.96768,4.622000217,95.97826
United States,2008,304093966,48382.55845,5.78399992,96.13058
United States,2009,306771529,47099.98047,9.25399971,94.70087
United States,2010,309326085,48466.82338,9.633000374,93.37426
United States,2011,311580009,49883.11398,8.949000359,92.44255
United States,2012,313874218,51603.49726,8.069000244,92.79303
United States,2013,316057727,53106.90977,7.375,92.80851
United States,2014,318386421,55032.958,6.168000221,93.2305
United States,2015,320742673,56803.47243,5.28000021,93.8973
United States,2016,323071342,57904.20196,4.868999958,95.07325
United States,2017,325147121,59927.92983,4.355000019,94.62633
